,id,name,group,avg_min,position,height,weight,country,seasons_played,team_name,team_city,start_year,end_year,draft_round,all_star_appearances
0,255,Grant Hill,2,27.83951882845188,Forward,6-8,225.0,USA,18,Pistons,Detroit,1994,2012,1,6.0
1,202412,Manny Harris,2,17.133387096774193,Guard,6-5,185.0,USA,5,Cavaliers,Cleveland,2010,2016,Undrafted,0.0
2,201970,Sam Young,2,15.917688172043013,Forward-Guard,6-6,225.0,USA,5,Grizzlies,Memphis,2009,2012,2,0.0
3,201604,Chris Douglas-Roberts,2,21.32071161048689,Guard,6-7,210.0,USA,7,,,2008,2014,2,0.0
4,406,Shaquille O'Neal,5,22.04346441947565,Center,7-1,325.0,USA,19,Lakers,Los Angeles,1992,2010,1,12.0
5,2405,Amar'e Stoudemire,5,27.68348705501618,Forward-Center,6-10,245.0,USA,15,Knicks,New York,2002,2015,1,6.0
6,1627826,Ivica Zubac,5,14.696690476190474,Center,7-0,240.0,Croatia,5,Clippers,LA,2016,2021,2,
7,101115,Andrew Bynum,5,29.77562601626016,Center,7-0,285.0,USA,8,Lakers,Los Angeles,2005,2013,1,1.0
8,436,Juwan Howard,0,14.932858585858586,Forward,6-9,250.0,USA,20,Wizards,Washington,1994,2012,1,1.0
9,203948,Johnny O'Bryant III,0,11.458673469387756,Forward,6-9,257.0,USA,5,,,2014,2017,2,0.0
10,2694,Josh Powell,1,10.62156779661017,Forward,6-9,240.0,USA,8,Lakers,Los Angeles,2005,2013,Undrafted,0.0
11,2239,Trenton Hassell,1,21.274262820512824,Forward-Guard,6-5,227.0,USA,10,Timberwolves,Minnesota,2001,2009,2,0.0
12,467,Jason Kidd,3,31.532108362779734,Guard,6-4,210.0,USA,19,Nets,New Jersey,1994,2012,1,9.0
13,203143,Pablo Prigioni,3,16.953172242874846,Guard,6-3,185.0,Argentina,5,Knicks,New York,2012,2015,Undrafted,0.0
14,2224,Jamaal Tinsley,3,16.348164414414413,Guard,6-3,188.0,USA,11,,,2001,2013,1,0.0
15,1628366,Lonzo Ball,3,32.349444444444444,Guard,6-6,190.0,USA,4,Bulls,Chicago,2017,2021,1,
16,686,Antonio McDyess,0,20.023888888888887,Forward-Center,6-9,245.0,USA,16,Pistons,Detroit,1995,2010,1,1.0
17,2853,Earl Barron,0,14.60640804597701,Forward-Center,7-0,250.0,USA,9,Heat,Miami,2005,2014,Undrafted,0.0
18,101130,Johan Petro,0,12.811124794745483,Center,7-0,247.0,France,9,Thunder,Oklahoma City,2005,2012,1,0.0
19,2617,Udonis Haslem,0,18.572815261044177,Forward,6-8,235.0,USA,18,Heat,Miami,2003,2021,Undrafted,
20,689,Theo Ratliff,0,14.858954802259886,Center,6-10,235.0,USA,17,76ers,Philadelphia,1995,2010,1,0.0
21,201202,Joel Anthony,0,13.743823773898589,Center,6-9,245.0,Canada,11,Heat,Miami,2007,2016,Undrafted,0.0
22,202327,Ekpe Udoh,0,14.830008703220193,Center-Forward,6-10,245.0,USA,8,Jazz,Utah,2010,2018,1,0.0
23,201934,Hasheem Thabeet,0,10.507683109118084,Center,7-3,263.0,Tanzania,5,Grizzlies,Memphis,2009,2013,1,0.0
24,703,Kurt Thomas,0,15.992344236760124,Forward,6-9,240.0,USA,18,,,1995,2012,1,0.0
25,1903,Kenny Thomas,0,12.04551282051282,Center-Forward,6-7,245.0,USA,12,,,1999,2009,1,0.0
26,1499,Tony Battie,0,10.0693125,Center,6-11,240.0,USA,15,Celtics,Boston,1997,2011,1,0.0
27,201187,Dominic McGuire,0,13.377012089810018,Forward,6-9,235.0,USA,7,,,2007,2012,2,0.0
28,708,Kevin Garnett,0,26.49379197379197,Forward,6-11,240.0,USA,22,Timberwolves,Minnesota,1995,2015,1,14.0
29,2561,David West,5,26.539176860346583,Forward,6-9,250.0,USA,16,Warriors,Golden State,2003,2017,1,2.0
30,201175,Glen Davis,0,22.415978260869565,Forward-Center,6-9,289.0,USA,8,Celtics,Boston,2007,2014,2,0.0
31,2760,Anderson Varejao,0,24.961714437367306,Forward,6-11,260.0,Brazil,14,,,2004,2020,2,0.0
32,711,Jerry Stackhouse,4,14.834008620689657,Forward,6-6,218.0,USA,19,Pistons,Detroit,1995,2012,1,2.0
33,203917,Nik Stauskas,1,19.88471144278607,Guard,6-6,205.0,Canada,6,Cavaliers,Cleveland,2014,2018,1,0.0
34,2399,Mike Dunleavy,1,25.71197530864197,Guard-Forward,6-9,230.0,USA,16,Warriors,Golden State,2002,2016,1,0.0
35,101110,Martell Webster,1,24.79638425925926,Forward-Guard,6-7,230.0,USA,11,Trail Blazers,Portland,2005,2014,1,0.0
36,714,Michael Finley,1,15.414021739130431,Guard-Forward,6-7,225.0,USA,16,Mavericks,Dallas,1995,2009,1,2.0
37,101214,Jawad Williams,1,14.165416666666667,Forward,6-9,225.0,USA,3,,,2008,2010,Undrafted,0.0
38,203503,Tony Snell,1,21.80257164404223,Guard,6-6,213.0,USA,8,Trail Blazers,Portland,2013,2021,1,
39,203117,Doron Lamb,1,12.725883333333334,Guard,6-4,200.0,USA,2,Magic,Orlando,2012,2013,2,0.0
40,739,Rasheed Wallace,1,20.764216666666663,Forward-Center,6-11,230.0,USA,16,,,1995,2012,1,4.0
41,1628371,Jonathan Isaac,2,24.81955882352941,Forward,6-10,230.0,USA,3,Magic,Orlando,2017,2021,1,
42,1629016,Omari Spellman,2,17.49003623188406,Forward,6-8,245.0,USA,3,Timberwolves,Minnesota,2018,2019,1,0.0
43,203120,Justin Hamilton,2,17.35589970501475,Center,7-0,255.0,USA,4,Nets,Brooklyn,2013,2016,2,0.0
44,947,Allen Iverson,2,30.868690476190476,Guard,6-0,165.0,USA,15,76ers,Philadelphia,1996,2009,1,9.0
45,201945,Gerald Henderson,2,25.91435705368289,Guard,6-5,215.0,USA,9,Hornets,Charlotte,2009,2016,1,0.0
46,202809,Cory Higgins,2,10.33871212121212,Guard,6-5,180.0,USA,2,,,2011,2012,Undrafted,0.0
47,200750,Brandon Roy,2,32.908072463768114,Guard,6-6,211.0,USA,6,Trail Blazers,Portland,2006,2012,1,2.0
48,948,Marcus Camby,0,25.20688372093023,Center-Forward,6-11,240.0,USA,18,Nuggets,Denver,1996,2012,1,0.0
49,203961,Eric Moreland,0,10.771544715447154,Forward-Center,6-10,238.0,USA,5,Raptors,Toronto,2014,2018,Undrafted,0.0
50,202332,Cole Aldrich,0,10.002820512820511,Center,6-11,253.0,USA,9,Knicks,New York,2010,2017,1,0.0
51,2740,Andris Biedrins,0,17.365934343434343,Center,7-0,250.0,Latvia,10,,,2004,2013,1,0.0
52,951,Ray Allen,4,31.41072625698324,Guard,6-5,205.0,USA,18,Bucks,Milwaukee,1996,2013,1,10.0
53,1628379,Luke Kennard,4,21.40397530864197,Guard,6-5,206.0,USA,4,Clippers,LA,2017,2021,1,
54,201158,Marco Belinelli,4,24.078950022925262,Guard,6-5,220.0,Italy,14,Spurs,San Antonio,2007,2019,1,0.0
55,1628422,Damyean Dotson,4,21.17834757834758,Guard,6-5,210.0,USA,5,Cavaliers,Cleveland,2017,2020,2,0.0
