PLAYER_NAME,ID,GAMES,SEASONS,group
Grant Hill,255,239,4,2
Shaquille O'Neal,406,89,2,5
Juwan Howard,436,165,4,0
Jason Kidd,467,283,4,3
Antonio McDyess,686,150,2,0
Theo Ratliff,689,59,2,0
Kurt Thomas,703,214,4,0
Kevin Garnett,708,407,7,0
Jerry Stackhouse,711,116,4,4
Michael Finley,714,46,1,1
Rasheed Wallace,739,100,2,1
Allen Iverson,947,28,1,2
Marcus Camby,948,215,4,0
Ray Allen,951,358,5,4
Erick Dampier,956,121,3,0
Steve Nash,959,283,5,3
Derek Fisher,965,341,5,3
Kobe Bryant,977,398,7,6
Peja Stojakovic,978,94,2,4
Jermaine O'Neal,979,218,5,0
Zydrunas Ilgauskas,980,135,2,0
Chucky Atkins,1088,40,1,3
Ben Wallace,1112,185,3,0
Tim Duncan,1495,493,7,5
Chauncey Billups,1497,206,5,4
Tony Battie,1499,80,3,0
Tim Thomas,1501,18,1,4
Tracy McGrady,1503,154,3,3
Anthony Parker,1515,203,3,1
Anthony Johnson,1533,31,1,3
Stephen Jackson,1536,258,5,2
Kevin Ollie,1563,25,1,3
Mikki Moore,1630,30,2,0
Mike Bibby,1710,199,3,1
Antawn Jamison,1712,285,5,2
Vince Carter,1713,703,10,4
Jason Williams,1715,109,2,3
Larry Hughes,1716,54,2,3
Dirk Nowitzki,1717,681,10,2
Paul Pierce,1718,530,8,6
Ricky Davis,1729,36,1,1
Al Harrington,1733,253,5,4
Nazr Mohammed,1737,366,7,0
Rashard Lewis,1740,272,5,1
Rafer Alston,1747,52,1,3
Brad Miller,1802,157,3,2
Anthony Carter,1853,111,3,3
Earl Boykins,1863,131,3,3
Elton Brand,1882,414,7,0
Baron Davis,1884,161,3,6
Lamar Odom,1885,296,4,0
Jonathan Bender,1886,25,1,1
Richard Hamilton,1888,179,4,2
Andre Miller,1889,486,7,3
Shawn Marion,1890,416,6,2
Jason Terry,1891,609,9,4
Corey Maggette,1894,186,4,6
Metta World Peace,1897,387,7,3
James Posey,1899,126,2,1
Jeff Foster,1902,83,3,0
Kenny Thomas,1903,26,1,0
Devean George,1904,45,1,4
Andrei Kirilenko,1905,238,5,2
Manu Ginobili,1938,579,9,6
Raja Bell,1952,108,3,1
Kenyon Martin,2030,209,6,0
Mike Miller,2034,393,8,1
Jamal Crawford,2037,728,10,4
Joel Przybilla,2038,104,4,0
Keyon Dooling,2039,185,4,3
Etan Thomas,2041,36,2,0
Hedo Turkoglu,2045,318,6,1
Quentin Richardson,2047,182,4,1
Jamaal Magloire,2048,88,3,0
Morris Peterson,2050,50,2,4
DeShawn Stevenson,2052,243,4,1
Eduardo Najera,2059,99,3,1
Eddie House,2067,124,2,4
Michael Redd,2072,79,3,4
Ime Udoka,2137,89,2,1
Kwame Brown,2198,145,4,0
Tyson Chandler,2199,596,10,0
Pau Gasol,2200,642,10,5
Jason Richardson,2202,265,5,4
Shane Battier,2203,359,5,1
DeSagana Diop,2205,91,4,0
Joe Johnson,2207,652,9,4
Vladimir Radmanovic,2209,189,4,1
Richard Jefferson,2210,609,9,1
Troy Murphy,2211,180,4,1
Zach Randolph,2216,608,9,5
Brendan Haywood,2217,284,5,0
Gerald Wallace,2222,362,6,2
Samuel Dalembert,2223,385,6,0
Jamaal Tinsley,2224,148,4,3
Tony Parker,2225,642,10,6
Mike James,2229,71,4,3
Maurice Evans,2230,176,3,1
Trenton Hassell,2239,52,1,1
Gilbert Arenas,2240,119,3,6
Mehmet Okur,2246,103,3,0
Earl Watson,2248,281,5,3
Bobby Simmons,2250,53,3,1
Charlie Bell,2294,90,2,1
Carlos Arroyo,2306,136,2,3
Chris Andersen,2365,366,8,0
Mike Dunleavy,2399,486,8,4
Drew Gooden,2400,279,7,0
Nene,2403,595,10,5
Chris Wilcox,2404,180,4,5
Amar'e Stoudemire,2405,412,7,5
Caron Butler,2406,394,7,1
Jared Jeffries,2407,188,4,0
Melvin Ely,2408,32,2,0
Tayshaun Prince,2419,481,7,2
Nenad Krstic,2420,147,2,0
John Salmons,2422,374,6,1
Roger Mason Jr.,2427,251,5,1
Dan Gadzuric,2429,76,3,0
Carlos Boozer,2430,429,6,5
David Andersen,2431,103,2,2
Flip Murray,2436,75,1,4
Matt Barnes,2440,566,8,4
Darius Songaila,2443,85,2,2
Rasual Butler,2446,333,6,1
Luis Scola,2449,579,8,5
Jannero Pargo,2457,183,5,4
Devin Brown,2484,50,1,4
Reggie Evans,2501,294,6,0
LeBron James,2544,724,10,6
Darko Milicic,2545,130,4,0
Carmelo Anthony,2546,618,10,6
Chris Bosh,2547,454,7,5
Dwyane Wade,2548,660,10,6
Chris Kaman,2549,349,7,5
Kirk Hinrich,2550,439,7,3
T.J. Ford,2551,102,3,3
Jarvis Hayes,2553,45,1,1
Mickael Pietrus,2554,193,4,4
Nick Collison,2555,530,9,0
Marcus Banks,2556,25,2,3
Luke Ridnour,2557,395,6,3
David West,2561,654,9,5
Sasha Pavlovic,2562,184,4,1
Dahntay Jones,2563,298,7,2
Boris Diaw,2564,604,8,1
Travis Outlaw,2566,254,5,1
Carlos Delfino,2568,244,4,4
Kendrick Perkins,2570,416,8,0
Leandro Barbosa,2571,426,8,6
Josh Howard,2572,107,4,2
Jason Kapono,2574,108,3,1
Luke Walton,2575,162,4,3
Steve Blake,2581,449,7,3
Willie Green,2584,381,6,4
Zaza Pachulia,2585,676,10,0
Keith Bogans,2586,245,5,1
Matt Bonner,2588,427,7,1
Mo Williams,2590,407,7,4
James Jones,2592,378,8,1
Kyle Korver,2594,709,10,4
Marquis Daniels,2605,196,4,2
Udonis Haslem,2617,415,10,0
Quinton Ross,2624,88,2,1
Josh Powell,2694,118,3,0
Dwight Howard,2730,637,10,5
Emeka Okafor,2731,285,5,0
Ben Gordon,2732,346,6,4
Shaun Livingston,2733,673,10,3
Devin Harris,2734,640,10,6
Josh Childress,2735,106,4,2
Luol Deng,2736,569,10,2
Andre Iguodala,2738,701,10,3
Andris Biedrins,2740,198,5,0
Sebastian Telfair,2742,214,5,3
Kris Humphries,2743,511,8,0
Al Jefferson,2744,582,9,5
Josh Smith,2746,518,8,2
JR Smith,2747,621,10,4
Dorell Wright,2748,409,6,4
Jameer Nelson,2749,547,9,3
Delonte West,2753,127,3,3
Tony Allen,2754,537,9,2
Kevin Martin,2755,405,7,6
Sasha Vujacic,2756,239,5,4
Beno Udrih,2757,484,8,3
Anderson Varejao,2760,314,8,0
Chris Duhon,2768,227,4,3
Trevor Ariza,2772,699,10,4
Andres Nocioni,2804,140,3,4
Earl Barron,2853,58,5,0
Damien Wilkins,2863,271,5,2
Andrew Bogut,101106,440,10,0
Marvin Williams,101107,730,10,1
Chris Paul,101108,649,10,6
Raymond Felton,101109,651,10,3
Martell Webster,101110,360,6,1
Charlie Villanueva,101111,381,7,4
Channing Frye,101112,612,9,1
Ike Diogu,101113,38,2,5
Deron Williams,101114,534,8,6
Andrew Bynum,101115,205,4,5
Antoine Wright,101120,74,2,1
Joey Graham,101121,102,2,2
Danny Granger,101122,279,6,4
Gerald Green,101123,476,8,4
Hakim Warrick,101124,219,4,5
Nate Robinson,101126,336,7,6
